site,year,georegion,season,num_plots_sampled,DERIMB,EVATRO,HENSPP,MEDAEQ,ORTKOE,PISOCH,PYCHEL,SOLSPP,ASTSPP,LETNAN,PATMIN,PISBRE,PISGIG
Nuka Passage,2017,AK Kenai Fjords,Summer,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Nuka Passage,2018,AK Kenai Fjords,Summer,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Nuka Passage,2019,AK Kenai Fjords,Summer,1,2,1,1,5,0,0,0,0,0,0,0,0,0
Nuka Passage,2021,AK Kenai Fjords,Summer,1,1,8,0,0,0,31,1,0,0,0,0,0,0
Harris Bay,2009,AK Kenai Fjords,Summer,1,16,2,0,0,0,12,23,0,0,0,0,0,0
Harris Bay,2010,AK Kenai Fjords,Summer,1,5,0,0,0,0,2,18,0,0,0,0,0,0
Harris Bay,2011,AK Kenai Fjords,Summer,1,5,0,0,0,0,7,1,0,0,0,0,0,0
Harris Bay,2012,AK Kenai Fjords,Summer,1,3,0,0,0,0,17,4,0,0,0,0,0,0
Harris Bay,2013,AK Kenai Fjords,Summer,1,17,0,0,0,0,9,31,0,0,0,0,0,0
Harris Bay,2014,AK Kenai Fjords,Summer,1,19,0,0,0,0,16,2,0,0,0,0,0,0
Harris Bay,2015,AK Kenai Fjords,Summer,1,0,0,0,0,0,5,5,0,0,0,0,0,0
Harris Bay,2016,AK Kenai Fjords,Summer,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Harris Bay,2017,AK Kenai Fjords,Summer,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Harris Bay,2018,AK Kenai Fjords,Summer,1,3,0,0,0,0,2,0,0,0,0,0,0,0
Harris Bay,2019,AK Kenai Fjords,Summer,1,3,14,0,0,0,30,0,0,0,0,0,0,0
Harris Bay,2020,AK Kenai Fjords,Summer,1,5,0,0,0,0,14,0,0,0,0,0,0,0
Harris Bay,2021,AK Kenai Fjords,Summer,1,9,1,0,0,0,36,0,0,0,0,0,0,0
Hogan Bay,2007,AK Katmai,Summer,1,2,1,0,0,0,0,3,0,0,0,0,0,0
Hogan Bay,2010,AK Katmai,Summer,1,4,1,0,0,0,0,60,0,0,0,0,0,0
Hogan Bay,2011,AK Katmai,Summer,1,13,0,0,0,0,0,46,0,0,0,0,0,0
Hogan Bay,2012,AK Katmai,Summer,1,16,4,0,0,0,0,172,0,0,0,0,0,0
Hogan Bay,2013,AK Katmai,Summer,1,8,0,0,0,0,0,31,0,0,0,0,0,0
Hogan Bay,2014,AK Katmai,Summer,1,21,0,0,0,0,0,123,0,0,0,0,0,0
Hogan Bay,2015,AK Katmai,Summer,1,2,5,0,0,0,0,11,0,0,0,0,0,0
Hogan Bay,2016,AK Katmai,Summer,1,27,0,0,0,0,0,13,0,0,0,0,0,0
Hogan Bay,2017,AK Katmai,Summer,1,1,0,0,0,0,0,13,0,0,0,0,0,0
Hogan Bay,2018,AK Katmai,Summer,1,2,2,0,0,0,0,17,0,0,0,0,0,0
Hogan Bay,2019,AK Katmai,Summer,1,26,7,0,0,0,4,18,0,0,0,0,0,0
Hogan Bay,2020,AK Katmai,Summer,1,51,0,0,0,0,2,1,0,0,0,0,0,0
Hogan Bay,2021,AK Katmai,Summer,1,23,0,0,0,0,9,15,0,0,0,0,0,0
Iktua Bay,2007,AK Katmai,Summer,1,2,1,0,0,0,0,1,0,0,0,0,0,0
Iktua Bay,2010,AK Katmai,Summer,1,3,5,0,0,0,0,31,0,0,0,0,0,0
Iktua Bay,2011,AK Katmai,Summer,1,12,1,1,0,0,1,9,0,0,0,0,0,0
Iktua Bay,2012,AK Katmai,Summer,1,15,0,0,0,0,0,18,0,0,0,0,0,0
Iktua Bay,2013,AK Katmai,Summer,1,10,0,0,0,0,0,11,0,0,0,0,0,0
Iktua Bay,2014,AK Katmai,Summer,1,3,2,0,0,0,0,17,0,0,0,0,0,0
Iktua Bay,2015,AK Katmai,Summer,1,4,2,0,0,0,0,19,0,0,0,0,0,0
Iktua Bay,2016,AK Katmai,Summer,1,11,0,0,0,0,0,0,0,0,0,0,0,0
Iktua Bay,2017,AK Katmai,Summer,1,11,2,0,0,0,1,0,0,0,0,0,0,0
Iktua Bay,2018,AK Katmai,Summer,1,12,7,1,0,0,0,14,0,0,0,0,0,0
Iktua Bay,2019,AK Katmai,Summer,1,18,5,0,0,0,0,22,0,0,0,0,0,0
Iktua Bay,2020,AK Katmai,Summer,1,3,0,0,0,0,1,0,0,0,0,0,0,0
Iktua Bay,2021,AK Katmai,Summer,1,9,0,0,0,0,0,0,0,0,0,0,0,0
Whale Bay,2007,AK Katmai,Summer,1,24,0,0,0,0,0,0,0,0,0,0,0,0
Whale Bay,2010,AK Katmai,Summer,1,7,0,0,0,0,0,47,0,0,0,0,0,0
Whale Bay,2011,AK Katmai,Summer,1,2,1,0,0,0,0,20,0,0,0,0,0,0
Whale Bay,2012,AK Katmai,Summer,1,5,0,0,0,0,0,6,0,0,0,0,0,0
Whale Bay,2013,AK Katmai,Summer,1,24,0,0,0,0,0,26,0,0,0,0,0,0
Whale Bay,2014,AK Katmai,Summer,1,11,1,0,0,0,0,30,0,0,0,0,0,0
Whale Bay,2015,AK Katmai,Summer,1,2,0,0,0,0,0,1,0,0,0,0,0,0
Whale Bay,2016,AK Katmai,Summer,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Whale Bay,2017,AK Katmai,Summer,1,12,11,0,0,0,0,15,0,0,0,0,0,0
Whale Bay,2018,AK Katmai,Summer,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Whale Bay,2019,AK Katmai,Summer,1,9,1,0,0,0,0,34,0,0,0,0,0,0
Whale Bay,2020,AK Katmai,Summer,1,53,0,0,0,0,0,41,0,0,0,0,0,0
Whale Bay,2021,AK Katmai,Summer,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2007,AK Katmai,Summer,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2010,AK Katmai,Summer,1,19,0,0,0,0,0,9,0,0,0,0,0,0
Johnson Bay,2011,AK Katmai,Summer,1,8,1,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2012,AK Katmai,Summer,1,5,2,0,0,0,0,4,0,0,0,0,0,0
Johnson Bay,2013,AK Katmai,Summer,1,13,3,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2014,AK Katmai,Summer,1,20,1,0,0,0,0,2,0,0,0,0,0,0
Johnson Bay,2015,AK Katmai,Summer,1,28,4,0,0,0,0,2,0,0,0,0,0,0
Johnson Bay,2016,AK Katmai,Summer,1,30,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2017,AK Katmai,Summer,1,13,0,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2018,AK Katmai,Summer,1,11,3,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2019,AK Katmai,Summer,1,14,7,0,0,0,0,0,0,0,0,0,0,0
Johnson Bay,2020,AK Katmai,Summer,1,48,0,0,0,0,0,1,0,0,0,0,0,0
Johnson Bay,2021,AK Katmai,Summer,1,24,1,0,0,0,0,0,0,0,0,0,0,0
Herring Bay,2007,AK Katmai,Summer,1,2,2,0,0,0,0,4,0,0,0,0,0,0
Herring Bay,2010,AK Katmai,Summer,1,7,2,0,0,0,2,8,0,0,0,0,0,0
Herring Bay,2011,AK Katmai,Summer,1,12,1,0,0,0,1,5,0,0,0,0,0,0
Herring Bay,2012,AK Katmai,Summer,1,63,2,0,0,0,3,33,0,0,0,0,0,0
Herring Bay,2013,AK Katmai,Summer,1,11,0,0,0,0,4,10,0,0,0,0,0,0
Herring Bay,2014,AK Katmai,Summer,1,61,0,0,0,0,3,29,0,0,0,0,0,0
Herring Bay,2015,AK Katmai,Summer,1,14,0,0,0,0,1,20,0,0,0,0,0,0
Herring Bay,2016,AK Katmai,Summer,1,15,0,0,0,0,4,0,0,0,0,0,0,0
Herring Bay,2017,AK Katmai,Summer,1,55,0,0,0,0,1,0,0,0,0,0,0,0
Herring Bay,2018,AK Katmai,Summer,1,16,2,1,0,0,1,3,0,0,0,0,0,0
Herring Bay,2019,AK Katmai,Summer,1,20,4,0,0,0,1,7,0,0,0,0,0,0
Herring Bay,2020,AK Katmai,Summer,1,44,0,0,0,0,0,0,0,0,0,0,0,0
Herring Bay,2021,AK Katmai,Summer,1,47,0,0,0,0,1,0,0,0,0,0,0,0
Bishop's Beach,2021,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2023,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2012,AK Kachemak Bay,Summer,4,0,3,0,0,0,0,0,1,0,0,0,0,0
Bluff Point,2013,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2015,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2016,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,2,1,0,0,0,0
Bluff Point,2017,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,2,0,0,0,0,0
Bluff Point,2022,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2012,AK Kachemak Bay,Summer,4,0,2,2,0,0,0,0,1,0,0,0,0,0
Cohen Island,2013,AK Kachemak Bay,Summer,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2014,AK Kachemak Bay,Summer,4,0,8,0,0,1,0,0,0,0,0,0,0,0
Cohen Island,2015,AK Kachemak Bay,Summer,4,0,3,1,0,1,0,0,1,0,1,0,0,0
Cohen Island,2016,AK Kachemak Bay,Summer,4,0,29,1,0,0,0,0,0,0,0,0,0,0
Cohen Island,2020,AK Kachemak Bay,Summer,4,0,1,1,0,0,0,0,0,0,0,0,0,0
Cohen Island,2023,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Elephant Island,2013,AK Kachemak Bay,Summer,4,0,6,0,0,0,2,0,1,0,0,0,0,0
Elephant Island,2014,AK Kachemak Bay,Summer,4,0,19,0,0,3,0,1,3,0,0,0,0,0
Elephant Island,2015,AK Kachemak Bay,Summer,4,0,36,0,0,1,1,0,4,0,0,0,0,0
Elephant Island,2016,AK Kachemak Bay,Summer,4,1,108,1,0,0,0,1,4,0,0,0,0,0
Elephant Island,2018,AK Kachemak Bay,Summer,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Elephant Island,2020,AK Kachemak Bay,Summer,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Elephant Island,2022,AK Kachemak Bay,Summer,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Elephant Island,2023,AK Kachemak Bay,Summer,4,0,3,0,0,1,1,0,0,0,0,0,0,0
Outside Beach,2012,AK Kachemak Bay,Summer,4,0,0,9,0,2,0,0,0,0,0,0,0,0
Outside Beach,2013,AK Kachemak Bay,Summer,4,0,1,1,0,1,0,0,0,0,0,0,0,0
Outside Beach,2014,AK Kachemak Bay,Summer,4,0,5,1,0,0,0,1,0,0,0,0,0,0
Outside Beach,2015,AK Kachemak Bay,Summer,4,0,0,3,0,3,0,0,0,0,0,0,0,0
Outside Beach,2016,AK Kachemak Bay,Summer,4,0,0,3,0,2,0,0,1,0,0,0,0,0
Outside Beach,2017,AK Kachemak Bay,Summer,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Outside Beach,2018,AK Kachemak Bay,Summer,4,0,0,2,0,0,0,0,0,0,0,0,0,0
Outside Beach,2019,AK Kachemak Bay,Summer,4,0,0,9,0,0,0,0,0,0,0,0,0,0
Outside Beach,2020,AK Kachemak Bay,Summer,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Port Graham,2012,AK Kachemak Bay,Summer,4,0,1,6,0,3,0,1,0,0,0,0,0,0
Port Graham,2013,AK Kachemak Bay,Summer,4,0,0,3,0,11,0,1,1,0,0,0,0,0
Port Graham,2014,AK Kachemak Bay,Summer,4,0,4,11,0,8,0,2,0,0,0,0,0,0
Port Graham,2015,AK Kachemak Bay,Summer,4,0,1,8,0,10,0,1,0,0,0,0,0,0
Port Graham,2016,AK Kachemak Bay,Summer,4,1,0,4,0,21,0,0,0,0,0,0,0,0
Port Graham,2017,AK Kachemak Bay,Summer,4,0,0,2,0,1,0,0,0,0,0,0,0,0
Port Graham,2018,AK Kachemak Bay,Summer,4,0,0,6,0,1,0,0,0,0,0,0,0,0
Port Graham,2020,AK Kachemak Bay,Summer,4,0,0,3,0,0,0,0,0,0,0,0,0,0
Port Graham,2021,AK Kachemak Bay,Summer,4,0,2,0,0,0,0,0,0,0,0,0,0,0
Port Graham,2023,AK Kachemak Bay,Summer,4,0,1,4,0,17,0,0,0,0,0,0,0,0
Bishop's Beach,2012,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2014,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2016,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2017,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2017,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Elephant Island,2017,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2018,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2018,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2018,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2019,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2019,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2019,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Elephant Island,2019,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Graham,2019,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2020,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2020,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2021,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2021,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Elephant Island,2021,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Beach,2021,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Beach,2022,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cohen Island,2022,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop's Beach,2022,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Graham,2022,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Outside Beach,2023,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluff Point,2023,AK Kachemak Bay,Summer,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayak Island,2014,AK Southeast,Summer,2,0,0,0,0,0,417,0,0,0,0,0,0,0
Kayak Island,2015,AK Southeast,Summer,2,0,0,0,0,0,43,0,0,0,0,0,0,0
Kayak Island,2016,AK Southeast,Summer,2,0,0,0,0,0,118,0,0,0,0,0,0,0
Kayak Island,2017,AK Southeast,Summer,2,0,1,0,0,0,109,0,0,0,0,0,0,0
Kayak Island,2018,AK Southeast,Summer,2,0,4,0,0,0,85,0,0,0,0,0,0,0
Kayak Island,2019,AK Southeast,Summer,2,0,0,0,0,0,61,0,0,0,0,0,0,0
Kayak Island,2020,AK Southeast,Summer,2,0,0,0,0,0,39,0,0,0,0,0,0,0
Pirates Cove,2011,AK Southeast,Summer,3,3,0,2,0,0,135,0,0,0,0,0,0,0
Pirates Cove,2012,AK Southeast,Summer,3,1,1,4,0,0,59,1,0,0,0,0,0,0
Pirates Cove,2013,AK Southeast,Summer,3,3,3,1,0,0,59,1,0,0,0,0,0,0
Pirates Cove,2014,AK Southeast,Summer,3,1,5,0,0,0,145,0,0,0,0,0,0,0
Pirates Cove,2015,AK Southeast,Summer,3,0,0,0,0,0,18,0,0,0,0,0,0,0
Pirates Cove,2016,AK Southeast,Summer,3,1,0,0,0,0,14,0,0,0,0,0,0,0
Pirates Cove,2017,AK Southeast,Summer,3,4,6,1,0,0,22,0,0,0,0,0,0,0
Pirates Cove,2018,AK Southeast,Summer,3,0,6,0,0,0,18,0,0,0,0,0,0,0
