Site_Code,Site_Name,Sample_Date,Year_Sampled,Quadrat_Num,Elevation,Species_Name,Percent_Cover
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),bare substrate,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Devalerea callophyloides,57.14285714
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Fucus distichus,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Halosaccion glandiforme,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Neorhodomela oregona,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Mid (0.5 m MLLW),Ulva sp.,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Upper (1.5 m MLLW),bare substrate,28.57142857
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Upper (1.5 m MLLW),barnacle spat,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Upper (1.5 m MLLW),Chthamalus dalli,48.97959184
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Upper (1.5 m MLLW),Fucus distichus,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,2,Upper (1.5 m MLLW),Mytilus trossulus,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Alaria marginata,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),bare substrate,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),barnacle spat,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Fucus distichus,51.02040816
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Halosaccion glandiforme,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Neorhodomela oregona,57.14285714
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Polysiphonia sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Pylaiella littoralis,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Scytosiphon lomentaria,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Mid (0.5 m MLLW),Ulva sp.,24.48979592
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Alaria marginata,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),bare substrate,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Devalerea callophyloides,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Fucus distichus,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Halosaccion glandiforme,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Melanosiphon intestinalis,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Neorhodomela oregona,32.65306122
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Polyostea bipinnata,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Polysiphonia sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Pylaiella littoralis,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,3,Upper (1.5 m MLLW),Ulva sp.,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Alaria marginata,48.97959184
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),bare substrate,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Devalerea callophyloides,59.18367347
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Fucus distichus,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Halosaccion glandiforme,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Neorhodomela oregona,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Polyostea bipinnata,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Tokidadendron bullatum,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Mid (0.5 m MLLW),Ulva sp.,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Balanus / Semibalanus sp.,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Balanus glandula,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),bare substrate,32.65306122
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Boreophyllum / Pyropia / Wildemania sp.,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Fucus distichus,32.65306122
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Melanosiphon intestinalis,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Mytilus trossulus,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,4,Upper (1.5 m MLLW),Polyostea bipinnata,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Alaria marginata,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),bare substrate,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Devalerea callophyloides,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Fucus distichus,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Halosaccion glandiforme,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Mastocarpus sp.,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Neorhodomela oregona,34.69387755
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Polysiphonia sp.,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Pylaiella littoralis,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Tokidadendron bullatum,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Mid (0.5 m MLLW),Ulva sp.,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Acrosiphonia sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Balanus / Semibalanus sp.,46.93877551
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),bare substrate,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Fucus distichus,61.2244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Melanosiphon intestinalis,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Mytilus trossulus,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Pylaiella littoralis,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,5,Upper (1.5 m MLLW),Ulva sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),bare substrate,40.81632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),barnacle spat,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),Devalerea callophyloides,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),Fucus distichus,40.81632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),Neorhodomela oregona,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),Pylaiella littoralis,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),Scytosiphon lomentaria,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Mid (0.5 m MLLW),unidentified filamentous red algae,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Upper (1.5 m MLLW),Balanus glandula,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Upper (1.5 m MLLW),bare substrate,40.81632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Upper (1.5 m MLLW),Fucus distichus,51.02040816
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,6,Upper (1.5 m MLLW),Pylaiella littoralis,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Alaria marginata,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),barnacle spat,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Devalerea callophyloides,46.93877551
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Devalerea mollis,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Fucus distichus,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Halosaccion glandiforme,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Mytilus trossulus,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Neorhodomela oregona,38.7755102
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Polyostea bipinnata,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Pylaiella littoralis,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Tokidadendron bullatum,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),Ulva sp.,18.36734694
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Mid (0.5 m MLLW),unidentified filamentous red algae,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Balanus glandula,48.97959184
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),bare substrate,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Fucus distichus,63.26530612
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Mytilus trossulus,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Neorhodomela oregona,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,7,Upper (1.5 m MLLW),Polyostea bipinnata,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),bare substrate,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Devalerea callophyloides,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Fucus distichus,36.73469388
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Halosaccion glandiforme,42.85714286
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Mastocarpus sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Neorhodomela oregona,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Polyostea bipinnata,24.48979592
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Pylaiella littoralis,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Mid (0.5 m MLLW),Ulva sp.,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),bare substrate,38.7755102
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Fucus distichus,48.97959184
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Gloiopeltis furcata,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Halosaccion glandiforme,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Mastocarpus sp.,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Neorhodomela oregona,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,8,Upper (1.5 m MLLW),Pylaiella littoralis,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Alaria marginata,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),bare substrate,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Devalerea callophyloides,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Fucus distichus,32.65306122
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Halosaccion glandiforme,55.10204082
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Neorhodomela oregona,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Pylaiella littoralis,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Tokidadendron bullatum,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Mid (0.5 m MLLW),Ulva sp.,59.18367347
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Balanus glandula,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),bare substrate,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Devalerea callophyloides,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Fucus distichus,57.14285714
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Mastocarpus sp.,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Neorhodomela oregona,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,9,Upper (1.5 m MLLW),Pylaiella littoralis,42.85714286
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Balanus glandula,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),bare substrate,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),barnacle spat,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Devalerea callophyloides,30.6122449
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Fucus distichus,48.97959184
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Halosaccion glandiforme,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Neorhodomela oregona,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Polyostea bipinnata,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Pylaiella littoralis,30.6122449
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Mid (0.5 m MLLW),Ulva sp.,28.57142857
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Balanus / Semibalanus sp.,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Balanus glandula,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),bare substrate,30.6122449
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Elachista sp.,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Fucus distichus,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Halosaccion glandiforme,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Melanosiphon intestinalis,26.53061224
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Mytilus trossulus,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Polyostea bipinnata,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,10,Upper (1.5 m MLLW),Ulva sp.,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),bare substrate,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Devalerea callophyloides,14.28571429
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Fucus distichus,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Halosaccion glandiforme,30.6122449
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Mytilus trossulus,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Neorhodomela oregona,42.85714286
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Palmaria hecatensis,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Polyostea bipinnata,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Pylaiella littoralis,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Mid (0.5 m MLLW),Ulva sp.,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),Balanus glandula,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),bare substrate,63.26530612
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),barnacle spat,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),Elachista sp.,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),Fucus distichus,16.32653061
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),Mastocarpus sp.,8.163265306
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,11,Upper (1.5 m MLLW),unidentified filamentous red algae,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),bare substrate,24.48979592
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Devalerea callophyloides,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Fucus distichus,22.44897959
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Halosaccion glandiforme,4.081632653
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Neorhodomela oregona,44.89795918
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Polyostea bipinnata,20.40816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Pylaiella littoralis,10.20408163
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Mid (0.5 m MLLW),Ulva sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Balanus / Semibalanus sp.,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),bare substrate,61.2244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Cryptosiphonia woodii,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Fucus distichus,6.12244898
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Gloiopeltis furcata,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Mytilus trossulus,2.040816327
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Neorhodomela oregona,12.24489796
AKP_B10_RI_01,Kukak Bay,6/22/2006,2006,12,Upper (1.5 m MLLW),Polyostea bipinnata,4.081632653
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Acrosiphonia sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Alaria marginata,4.081632653
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),bare substrate,8.163265306
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),barnacle spat,28.57142857
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Boreophyllum / Pyropia / Wildemania sp.,2.040816327
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Chthamalus dalli,2.040816327
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Cladophora / Chaetomorpha sp.,10.20408163
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Devalerea callophyloides,2.040816327
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Devalerea sp.,18.36734694
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Fucus distichus,22.44897959
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Gloiopeltis furcata,2.040816327
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Halosaccion glandiforme,16.32653061
AKP_B10_RI_01,Kukak Bay,7/3/2007,2007,1,Mid (0.5 m MLLW),Mytilus trossulus,2.040816327
